INVASORA               COLETA DA AMOSTRA   PREDIÇÃO
picão                  na colheita         True
-----                  na colheita         True
corda de viola         na lavoura          True
mentrasto              entre-safra         True
vassoura de bruxa      entre-safra         True
cordão de frade        entre-safra         True
leiteiro               na colheita         True
poaia                  entre-safra         True
mentrasto              na colheita         True
poaia                  entre-safra         True
caruru                 na colheita         True
cordão de frade        entre-safra         True
picão                  na lavoura          True
caruru                 na colheita         True
vassoura rabo de tatu  entre-safra         True
cordão de frade        na lavoura          True
trapoeraba             na colheita         True
mentrasto              entre-safra         True
guanxuma               na lavoura          True
pé-de-galinha          entre-safra         True
trapoeraba             na colheita         True
caruru                 na lavoura          True
buva                   entre-safra         True
capim colchão          na colheita         True
picão                  entre-safra         True
caruru                 na lavoura          True
corda de viola         entre-safra         True
mamona                 entre-safra         True
capim braquiária       na lavoura          True
apaga-fogo             entre-safra         True
caruru                 entre-safra         True
corda de viola         entre-safra         True
leiteiro               na colheita         True
capim mombaça          entre-safra         True
leiteiro               na colheita         True
apaga-fogo             entre-safra         True
trapoeraba             entre-safra         True
leiteiro               na lavoura          True
erva moura             entre-safra         True
erva de santa luzia    na colheita         True
trapoeraba             na lavoura          True
poaia                  entre-safra         True
buva                   entre-safra         True
mentrasto              na colheita         True
fedegoso               entre-safra         True
cordão de frade        na lavoura          True
fedegoso               na lavoura          True
poaia                  entre-safra         True
caruru                 entre-safra         True
corda de viola         na colheita         True
serralha               na colheita         True
caruru                 na colheita         True
sorgo selvagem         na lavoura          True
-----                  entre-safra         True
vassoura rabo de tatu  entre-safra         True
erva de touro          entre-safra         True
erva moura             na lavoura          True
mentrasto              na colheita         True
carrapicho de carneiro entre-safra         True
-----                  entre-safra         True
mentrasto              entre-safra         True
erva quente            na colheita         True
cordão de frade        na lavoura          True
capim amargoso         entre-safra         True
erva moura             na colheita         True
fedegoso               na colheita         True
caruru                 entre-safra         True
leiteiro               na colheita         True
caruru                 na colheita         True
caruru                 na colheita         True
-----                  na colheita         True
mentrasto              na colheita         True
apaga-fogo             entre-safra         True
caruru                 entre-safra         True
poaia                  na colheita         True
buva                   entre-safra         True
guanxuma               na colheita         True
leiteiro               entre-safra         True
poaia                  entre-safra         True
pé-de-galinha          na colheita         True
mentrasto              na lavoura          True
guanxuma               na colheita         True
poaia                  entre-safra         True
serralha               na lavoura          True
erva de touro          entre-safra         True
vassoura rabo de tatu  entre-safra         True
trapoeraba             entre-safra         True
mentrasto              na lavoura          True
carrapicho de carneiro na colheita         True
picão                  na colheita         True
sorgo selvagem         entre-safra         True
corda de viola         na colheita         True
corda de viola         na lavoura          True
losna branca           entre-safra         True
vassoura rabo de tatu  na colheita         False
poaia                  entre-safra         True
mentrasto              na colheita         True
picão                  na lavoura          True
fedegoso               na colheita         True
trapoeraba             na colheita         True
erva moura             na colheita         True
poaia                  entre-safra         True
apaga-fogo             entre-safra         True
poaia                  entre-safra         True
sorgo selvagem         entre-safra         True
erva quente            na colheita         True
leiteiro               entre-safra         True
poaia                  na colheita         True
caruru                 na colheita         True
mentrasto              na lavoura          True
poaia                  na colheita         True
erva moura             na lavoura          True
-----                  entre-safra         True
leiteiro               na colheita         True
poaia                  entre-safra         True
apaga-fogo             na colheita         True
picão                  entre-safra         True
mentrasto              na colheita         True
caruru                 na lavoura          True
guanxuma               na colheita         True
sorgo selvagem         entre-safra         True
picão                  na colheita         True
corda de viola         entre-safra         True
serralha               entre-safra         True
pé-de-galinha          na colheita         True
apaga-fogo             na colheita         True
corda de viola         entre-safra         True
apaga-fogo             entre-safra         True
apaga-fogo             na colheita         True
mentrasto              na colheita         True
mentrasto              na lavoura          True
serralha               entre-safra         True
guanxuma               entre-safra         True
trapoeraba             entre-safra         True
caruru                 entre-safra         True
assa-peixe             na colheita         True
vassoura rabo de tatu  entre-safra         True
apaga-fogo             na colheita         True
picão                  entre-safra         True
poaia                  na lavoura          True
corda de viola         na colheita         True
corda de viola         na colheita         True
leiteiro               entre-safra         True
guanxuma               na lavoura          True
leiteiro               entre-safra         True
caruru                 entre-safra         True
fedegoso               na colheita         True
capim colchão          na colheita         True
trapoeraba             na colheita         True
corda de viola         na colheita         True
caruru                 na colheita         True
erva de santa luzia    na lavoura          True
serralha               entre-safra         True
mamona                 entre-safra         True
pé-de-galinha          na colheita         True
corda de viola         entre-safra         True
trapoeraba             na colheita         True
vassoura rabo de tatu  entre-safra         True
picão                  entre-safra         True
cordão de frade        entre-safra         True
poaia                  na colheita         True
trapoeraba             entre-safra         True
caruru                 na colheita         True
apaga-fogo             entre-safra         True
cordão de frade        entre-safra         True
