INVASORA               COLETA DA AMOSTRA   PREDIÇÃO
fedegoso               entre-safra         True
cordão de frade        na lavoura          True
corda de viola         na colheita         True
poaia                  entre-safra         True
caruru                 na colheita         True
cordão de frade        na lavoura          True
mentrasto              na colheita         True
picão                  na colheita         True
apaga-fogo             na colheita         True
trapoeraba             entre-safra         True
trapoeraba             na lavoura          True
capim colchão          entre-safra         True
vassoura de bruxa      entre-safra         True
fedegoso               entre-safra         True
picão                  na colheita         True
poaia                  na colheita         True
fedegoso               na colheita         True
caruru                 entre-safra         True
apaga-fogo             na colheita         True
leiteiro               entre-safra         True
guanxuma               na colheita         True
corda de viola         na colheita         True
caruru                 na colheita         True
cordão de frade        na colheita         True
mentrasto              entre-safra         True
trapoeraba             na lavoura          True
erva moura             entre-safra         True
fedegoso               na lavoura          True
trapoeraba             entre-safra         True
capim mombaça          entre-safra         True
erva de santa luzia    na colheita         True
cordão de frade        na colheita         True
erva moura             entre-safra         True
pé-de-galinha          na colheita         True
leiteiro               na colheita         True
poaia                  na colheita         True
picão                  na lavoura          True
soja perene            entre-safra         True
joá de capote          na colheita         True
erva moura             entre-safra         True
erva quente            entre-safra         True
cordão de frade        na colheita         True
beldroega              na colheita         True
erva quente            entre-safra         True
mentrasto              na lavoura          True
poaia                  na lavoura          True
trapoeraba             na lavoura          True
caruru                 entre-safra         True
sorgo selvagem         entre-safra         True
beldroega              entre-safra         True
mamona                 entre-safra         True
caruru                 entre-safra         True
guanxuma               na lavoura          True
caruru                 na lavoura          True
serralha               entre-safra         True
erva de santa luzia    na colheita         True
picão                  na colheita         True
trapoeraba             na colheita         True
corda de viola         na colheita         True
apaga-fogo             na lavoura          True
corda de viola         entre-safra         True
trapoeraba             entre-safra         True
joá de capote          na lavoura          True
apaga-fogo             entre-safra         True
sorgo selvagem         entre-safra         True
serralha               na colheita         True
guanxuma               entre-safra         True
caruru                 entre-safra         True
capim mombaça          entre-safra         True
cordão de frade        entre-safra         True
fedegoso               entre-safra         True
poaia                  na lavoura          True
caruru                 na lavoura          True
fedegoso               entre-safra         True
carrapicho de carneiro na colheita         True
mentrasto              na colheita         True
capim amargoso         entre-safra         True
poaia                  entre-safra         True
vassoura de bruxa      entre-safra         True
poaia                  entre-safra         True
picão                  entre-safra         True
carrapicho de carneiro na colheita         True
corda de viola         entre-safra         True
picão                  na colheita         True
trapoeraba             na colheita         True
picão                  na colheita         True
poaia                  entre-safra         True
losna branca           entre-safra         True
picão                  entre-safra         True
leiteiro               na colheita         True
capim guiné            entre-safra         True
beldroega              na colheita         True
trapoeraba             na colheita         True
fedegoso               na lavoura          True
erva de touro          na lavoura          True
buva                   na lavoura          True
cordão de frade        entre-safra         True
fedegoso               na colheita         True
trapoeraba             entre-safra         True
caruru                 entre-safra         True
erva quente            na colheita         True
beldroega              entre-safra         True
corda de viola         na colheita         True
caruru                 na lavoura          True
erva de touro          na lavoura          True
caruru                 entre-safra         True
leiteiro               na lavoura          True
-----                  na colheita         True
guanxuma               na colheita         True
trapoeraba             entre-safra         True
